t_s,theta_rad,omega_rad_s,alpha_rad_s2
0.0000,0.281707,0.132147,-1.040180
0.0400,0.286993,0.090540,-1.635180
0.0800,0.288950,0.001332,-2.364362
0.1200,0.287100,-0.098609,-2.477687
0.1600,0.281062,-0.196883,-2.601112
0.2000,0.271349,-0.306698,-2.961445
0.2400,0.256526,-0.433798,-3.133984
0.2800,0.236645,-0.557417,-3.011554
0.3200,0.211932,-0.674722,-2.960920
0.3600,0.182667,-0.794291,-2.835189
0.4000,0.148389,-0.901538,-2.346476
0.4400,0.110544,-0.982009,-1.793282
0.4800,0.069828,-1.045000,-1.339621
0.5200,0.026944,-1.089178,-1.107678
0.5600,-0.017306,-1.133614,-0.726443
0.6000,-0.063745,-1.147294,0.602194
0.6400,-0.109089,-1.085439,2.180928
0.6800,-0.150580,-0.972820,3.127671
0.7200,-0.186915,-0.835225,3.431747
0.7600,-0.217398,-0.698280,3.796490
0.8000,-0.242777,-0.531506,4.718402
0.8400,-0.259918,-0.320808,5.404975
0.8800,-0.268442,-0.099108,5.674544
0.9200,-0.267847,0.133156,5.742891
0.9600,-0.257789,0.360323,5.154777
1.0000,-0.239021,0.545538,4.316289
1.0400,-0.214146,0.705626,3.951156
1.0800,-0.182571,0.861630,3.638907
1.1200,-0.145216,0.996739,3.318931
1.1600,-0.102832,1.127145,2.402663
1.2000,-0.055044,1.188952,0.720259
1.2400,-0.007716,1.184766,-0.231688
1.2800,0.039737,1.170417,-0.778767
1.3200,0.085918,1.122464,-1.300884
1.3600,0.129534,1.066346,-2.076680
1.4000,0.171225,0.956330,-3.500962
1.4400,0.206040,0.786269,-4.354813
1.4800,0.234127,0.607945,-4.689635
1.5200,0.254676,0.411098,-4.961859
1.5600,0.267015,0.210996,-4.997327
1.6000,0.271556,0.011312,-5.118911
1.6400,0.267920,-0.198517,-5.253524
1.6800,0.255674,-0.408970,-5.104233
1.7200,0.235202,-0.606855,-4.846214
1.7600,0.207126,-0.796667,-4.096020
1.8000,0.171469,-0.934537,-2.889562
1.8400,0.132363,-1.027832,-2.222288
1.8800,0.089242,-1.112320,-1.721371
1.9200,0.043377,-1.165541,-1.189746
1.9600,-0.004001,-1.207500,-0.185346
