t_s,theta_teo_rad,omega_teo_rad_s,alpha_teo_rad_s2,theta_sim_rad,omega_sim_rad_s,alpha_sim_rad_s2
-0.0800,0.270525,0.455664,-5.448929,0.288950,0.000000,-5.706254
-0.0400,0.284306,0.231553,-5.726515,0.284372,-0.228250,-5.614604
0.0000,0.288950,-0.000000,-5.820045,0.270788,-0.449168,-5.345561
0.0400,0.284306,-0.231553,-5.726515,0.248628,-0.655895,-4.909508
0.0800,0.270525,-0.455664,-5.448929,0.218592,-0.841929,-4.317784
0.1200,0.248049,-0.665130,-4.996211,0.181629,-1.001318,-3.586702
0.1600,0.217600,-0.853218,-4.382910,0.138912,-1.128865,-2.737775
0.2000,0.180157,-1.013883,-3.628739,0.091802,-1.220340,-1.797565
0.2400,0.136924,-1.141960,-2.757937,0.041807,-1.272670,-0.796995
0.2800,0.089290,-1.233334,-1.798493,-0.009466,-1.284099,0.229890
0.3200,0.038787,-1.285068,-0.781244,-0.060370,-1.254279,1.247631
0.3600,-0.012964,-1.295499,0.261115,-0.109272,-1.184289,2.221271
0.4000,-0.064297,-1.264291,1.295082,-0.154610,-1.076577,3.118206
0.4400,-0.113565,-1.192448,2.287423,-0.194944,-0.934832,3.909694
0.4800,-0.159182,-1.082278,3.206245,-0.229005,-0.763802,4.571840
0.5200,-0.199683,-0.937324,4.022016,-0.255732,-0.569085,5.086013
0.5600,-0.233765,-0.762243,4.708516,-0.274299,-0.356921,5.438788
0.6000,-0.260335,-0.562662,5.243680,-0.284142,-0.133982,5.621605
0.6400,-0.278537,-0.344998,5.610308,-0.284967,0.092808,5.630360
0.6800,-0.287787,-0.116245,5.796615,-0.276759,0.316447,5.465120
0.7200,-0.287787,0.116245,5.796615,-0.259785,0.530017,5.130090
0.7600,-0.278537,0.344998,5.610308,-0.234581,0.726854,4.633822
0.8000,-0.260335,0.562662,5.243680,-0.201943,0.900723,3.989579
0.8400,-0.233765,0.762243,4.708516,-0.162905,1.046020,3.215658
0.8800,-0.199683,0.937324,4.022016,-0.118707,1.157976,2.335472
0.9200,-0.159182,1.082278,3.206245,-0.070762,1.232858,1.377184
0.9600,-0.113565,1.192448,2.287423,-0.020607,1.268150,0.372798
1.0000,-0.064297,1.264291,1.295082,0.030146,1.262682,-0.643271
1.0400,-0.012964,1.295499,0.261115,0.079867,1.216689,-1.635979
1.0800,0.038787,1.285068,-0.781244,0.126962,1.131803,-2.571546
1.1200,0.089290,1.233334,-1.798493,0.169931,1.010965,-3.419157
1.1600,0.136924,1.141960,-2.757937,0.207414,0.858271,-4.152252
1.2000,0.180157,1.013883,-3.628739,0.238235,0.678785,-4.749263
1.2400,0.217600,0.853218,-4.382910,0.261437,0.478330,-5.193839
1.2800,0.248049,0.665130,-4.996211,0.276307,0.263278,-5.474657
1.3200,0.270525,0.455664,-5.448929,0.282394,0.040357,-5.585052
1.3600,0.284306,0.231553,-5.726515,0.279523,-0.183526,-5.522658
1.4000,0.288950,-0.000000,-5.820045,0.267792,-0.401456,-5.289227
1.4400,0.284306,-0.231553,-5.726515,0.247576,-0.606665,-4.890694
1.4800,0.270525,-0.455664,-5.448929,0.219514,-0.792711,-4.337456
1.5200,0.248049,-0.665130,-4.996211,0.184494,-0.953661,-3.644720
1.5600,0.217600,-0.853218,-4.382910,0.143626,-1.084289,-2.832737
1.6000,0.180157,-1.013883,-3.628739,0.098213,-1.180280,-1.926701
1.6400,0.136924,-1.141960,-2.757937,0.049709,-1.238425,-0.956165
1.6800,0.089290,-1.233334,-1.798493,-0.000329,-1.256773,0.046075
1.7200,0.038787,-1.285068,-0.781244,-0.050294,-1.234739,1.045551
1.7600,-0.012964,-1.295499,0.261115,-0.098580,-1.173129,2.007952
1.8000,-0.064297,-1.264291,1.295082,-0.143645,-1.074103,2.900926
1.8400,-0.113565,-1.192448,2.287423,-0.184054,-0.941055,3.695610
1.8800,-0.159182,-1.082278,3.206245,-0.218535,-0.778454,4.367684
1.9200,-0.199683,-0.937324,4.022016,-0.246008,-0.591640,4.897888
1.9600,-0.233765,-0.762243,4.708516,-0.265623,-0.386623,5.272071
