t_s,x_px,y_px
0.0000,896.68,1101.10
0.0400,945.30,1088.59
0.0800,987.75,1077.32
0.1200,1010.82,1067.62
0.1600,1022.53,1059.81
0.2000,1028.80,1055.05
0.2400,1023.62,1057.89
0.2800,1012.99,1065.00
0.3200,993.48,1073.85
0.3600,951.96,1085.12
0.4000,841.41,1109.94
0.4400,776.24,1120.87
0.4800,705.05,1129.81
0.5200,629.52,1135.57
0.5600,552.37,1137.66
0.6000,406.80,1131.41
0.6400,337.08,1123.92
0.6800,272.99,1113.90
0.7200,217.68,1102.73
0.7600,171.96,1091.60
0.8000,108.37,1073.95
0.8400,90.84,1068.61
0.8800,83.99,1066.43
0.9200,85.77,1067.50
0.9600,97.84,1071.33
1.0000,150.09,1086.93
1.0400,189.04,1097.32
1.0800,235.28,1108.35
1.1200,290.33,1118.88
1.1600,352.47,1127.58
1.2000,482.56,1138.89
1.2400,551.66,1140.16
1.2800,622.88,1137.94
1.3200,691.47,1132.79
1.3600,758.26,1125.38
1.4000,877.14,1104.26
1.4400,927.14,1092.26
1.4800,969.88,1081.12
1.5200,1001.14,1071.41
1.5600,1015.24,1063.75
1.6000,1024.46,1057.23
1.6400,1020.56,1059.16
1.6800,1011.34,1064.85
1.7200,993.47,1073.22
1.7600,955.41,1083.60
1.8000,851.00,1108.52
1.8400,788.71,1119.24
1.8800,719.99,1129.05
1.9200,647.02,1135.24
1.9600,571.37,1138.46
2.0000,425.79,1134.08
2.0400,357.54,1127.42
2.0800,292.27,1118.39
2.1200,235.48,1107.50
2.1600,187.87,1096.56
2.2000,120.42,1078.09
2.2400,100.77,1072.26
2.2800,91.30,1069.53
2.3200,91.39,1069.46
2.3600,101.47,1072.68
2.4000,148.76,1086.33
2.4400,185.26,1096.21
2.4800,229.65,1106.36
2.5200,281.83,1116.87
2.5600,341.42,1125.53
2.6000,468.98,1136.91
2.6400,535.97,1138.99
2.6800,606.31,1137.79
2.7200,673.89,1133.27
2.7600,739.44,1126.85
2.8000,858.06,1107.29
2.8400,909.35,1095.48
2.8800,952.28,1084.63
2.9200,988.64,1074.94
2.9600,1016.66,1062.06
3.0000,1019.83,1059.90
3.0400,1017.25,1061.31
3.0800,1009.19,1066.18
3.1200,993.06,1073.77
3.1600,913.52,1095.02
3.2000,860.47,1107.51
3.2400,800.00,1117.98
3.2800,733.95,1128.24
3.3200,663.40,1134.84
3.3600,514.36,1139.58
3.4000,443.79,1136.04
3.4400,376.73,1130.37
3.4800,310.35,1121.93
3.5200,252.37,1111.68
3.5600,163.19,1090.63
3.6000,132.85,1082.17
3.6400,111.52,1075.67
3.6800,99.92,1072.27
3.7200,98.64,1071.64
3.7600,123.25,1078.87
3.8000,148.92,1085.96
3.8400,183.48,1094.92
3.8800,225.88,1104.70
3.9200,275.27,1114.88
3.9600,394.55,1130.66
4.0000,456.86,1135.39
4.0400,522.12,1138.28
4.0800,589.82,1137.36
